biomarker_id,analyte_name,specimen,measurement_property,canonical_unit,category,panel_seed,is_derived,aliases,loinc_code,loinc_component,default_reference_range_notes
1960-4,Bicarbonate [Moles/volume] in Arterial blood,Arterial Blood,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""HCO3 (BldA) [Moles/Vol]"", ""HCO3 BldA-sCnc""]",1960-4,Bicarbonate,
1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,Serum/Plasma,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""HCO3 SerPl-sCnc"", ""HCO3 [Moles/Vol]""]",1963-8,Bicarbonate,
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Liver Function Test,False,"[""Bilirub Direct SerPl-mCnc"", ""Bilirubin Direct"", ""Bilirubin.direct [Mass/Vol]"", ""Conjugated Bilirubin"", ""D. Bilirubin"", ""D.Bil"", ""Direct Bilirubin"", ""Serum Bilirubin Direct""]",1968-7,Bilirubin.glucuronidated+Bilirubin.albumin bound,
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Liver Function Test,False,"[""Bilirub Indirect SerPl-mCnc"", ""Bilirubin Indirect"", ""Bilirubin.indirect [Mass/Vol]"", ""Indirect Bilirubin"", ""Serum Bilirubin Indirect"", ""Unconjugated Bilirubin""]",1971-1,Bilirubin.non-glucuronidated,
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Liver Function Test,False,"[""Bilirub SerPl-mCnc"", ""Bilirubin Total"", ""Bilirubin [Mass/Vol]"", ""Serum Bilirubin Total"", ""T. Bilirubin"", ""T.Bil"", ""Total Bilirubin""]",1975-2,Bilirubin,
1978-6,Bilirubin.total [Mass/volume] in Urine,Urine,Mass concentration,mg/dL,Chemistry,Urinalysis,False,"[""Bilirub Ur-mCnc"", ""Bilirubin (U) [Mass/Vol]""]",1978-6,Bilirubin,
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Liver Function Test,False,"[""C-Reactive Protein"", ""CRP"", ""CRP SerPl-mCnc"", ""CRP [Mass/Vol]""]",1988-5,C reactive protein,
1989-3,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,ng/mL,Chemistry,Other,False,"[""25(OH)D3 SerPl-mCnc"", ""25-Hydroxy Vitamin D"", ""25-OH Vitamin D"", ""25-hydroxyvitamin D3 [Mass/Vol]"", ""Vit D"", ""Vitamin D"", ""Vitamin D 25 Hydroxy"", ""Vitamin D3""]",1989-3,Calcidiol,
1994-3,Calcium.ionized [Moles/volume] in Blood,Whole Blood,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""Ca-I Bld-sCnc"", ""Calcium.ionized (Bld) [Moles/Vol]""]",1994-3,Calcium.ionized,
2000-8,Calcium [Moles/volume] in Serum or Plasma,Serum/Plasma,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""Calcium SerPl-sCnc"", ""Calcium [Moles/Vol]""]",2000-8,Calcium,
2019-8,Carbon dioxide [Partial pressure] in Arterial blood,Arterial Blood,PPres,mm Hg,Chemistry,Other,False,"[""CO2 (BldA) [Partial pressure]"", ""pCO2 BldA""]",2019-8,Carbon dioxide,
2021-4,Carbon dioxide [Partial pressure] in Venous blood,Venous Blood,PPres,mm Hg,Chemistry,Other,False,"[""CO2 (BldV) [Partial pressure]"", ""pCO2 BldV""]",2021-4,Carbon dioxide,
2026-3,"Carbon dioxide, total [Moles/volume] in Arterial blood",Arterial Blood,Substance concentration,mmol/L,Chemistry,Other,False,"[""CO2 (BldA) [Moles/Vol]"", ""CO2 BldA-sCnc""]",2026-3,Carbon dioxide,
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Serum/Plasma,Substance concentration,mmol/L,Chemistry,Other,False,"[""CO2 SerPl-sCnc"", ""CO2 [Moles/Vol]""]",2028-9,Carbon dioxide,
2030-5,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,Arterial Blood,Mass fraction,%,Chemistry,Complete Blood Count,False,"[""COHgb MFr BldA"", ""Carboxyhemoglobin (BldA) [Mass fraction]""]",2030-5,Carboxyhemoglobin/Hemoglobin.total,
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,ug/L,Chemistry,Tumor Markers,False,"[""CEA"", ""CEA SerPl-mCnc"", ""Carcinoembryonic Ag [Mass/Vol]"", ""Carcinoembryonic Antigen""]",2039-6,Carcinoembryonic Ag,
20448-7,Insulin [Units/volume] in Serum or Plasma,Serum/Plasma,Arbitrary concentration,µIU/mL,Chemistry,Diabetes Panel,False,"[""Fasting Insulin"", ""Insulin"", ""Insulin Fasting"", ""Insulin Qn"", ""Insulin SerPl-aCnc"", ""Serum Insulin""]",20448-7,Insulin,
20509-6,Hemoglobin [Mass/volume] in Blood by calculation,Whole Blood,Mass concentration,g/dL,Hematology,Complete Blood Count,True,"[""Hemoglobin Calc (Bld) [Mass/Vol]"", ""Hgb Bld Calc-mCnc""]",20509-6,Hemoglobin,
20565-8,"Carbon dioxide, total [Moles/volume] in Blood",Whole Blood,Substance concentration,mmol/L,Chemistry,Other,False,"[""CO2 (Bld) [Moles/Vol]"", ""CO2 Bld-sCnc""]",20565-8,Carbon dioxide,
20570-8,Hematocrit [Volume Fraction] of Blood by calculation,Whole Blood,VFr,%,Hematology,Complete Blood Count,False,"[""Hct VFr Bld Calc"", ""Hematocrit Calc (Bld) [Volume fraction]""]",20570-8,Erythrocyte/Blood,
2069-3,Chloride [Moles/volume] in Blood,Whole Blood,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""Chloride (Bld) [Moles/Vol]"", ""Chloride Bld-sCnc""]",2069-3,Chloride,
2075-0,Chloride [Moles/volume] in Serum or Plasma,Serum/Plasma,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""Chloride"", ""Chloride SerPl-sCnc"", ""Chloride [Moles/Vol]"", ""Cl"", ""Cl-"", ""Serum Chloride""]",2075-0,Chloride,99 - 109
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Lipid Profile,False,"[""Cholesterol in HDL [Mass/Vol]"", ""HDL"", ""HDL Cholesterol"", ""HDL-C"", ""HDL-Cholesterol"", ""HDLc SerPl-mCnc"", ""High Density Lipoprotein""]",2085-9,Cholesterol.in HDL,
2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Lipid Profile,False,"[""Cholesterol in LDL [Mass/Vol]"", ""LDL Cholesterol Direct"", ""LDL Direct"", ""LDLc SerPl-mCnc""]",2089-1,Cholesterol.in LDL,
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Lipid Profile,False,"[""Cholest SerPl-mCnc"", ""Cholesterol"", ""Cholesterol Total"", ""Cholesterol [Mass/Vol]"", ""Cholestrol"", ""TC"", ""Total Cholesterol""]",2093-3,Cholesterol,
